p_sur,p_short,p_battery_chg,p_battery_dch,battery_soc,p_dg,demand,rdg,c_buy,c_sell
0,0,25.2632,0,0.24,85.2632,130,70,90,70
0,0,5,0,0.2875,50,125,80,90,70
0,0,20,0,0.4775,50,120,90,90,70
0,0,30,0,0.7625,50,120,100,90,70
0,0,25,0,1,50,125,100,90,70
0,0,0,0,1,100,135,35,90,70
34,0,0,0,1,150,150,34,110,90
60,0,0,0,1,150,160,70,110,90
55,0,0,0,1,150,175,80,110,90
50,0,0,0,1,150,190,90,110,90
55,0,0,0,1,150,195,100,110,90
50,0,0,0,1,150,200,100,125,105
55,0,0,0,1,150,195,100,125,105
100,0,0,45,0.526316,150,195,100,125,105
10,0,0,0,0.526316,150,180,40,125,105
30,0,0,0,0.526316,150,170,50,125,105
75,0,0,50,0,150,185,60,125,105
30,0,0,0,0,150,190,70,125,105
35,0,0,0,0,150,195,80,110,90
40,0,0,0,0,150,200,90,110,90
55,0,0,0,0,150,195,100,110,90
60,0,0,0,0,150,190,100,110,90
70,0,0,0,0,150,180,100,110,90
75,0,0,0,0,150,175,100,110,90
